cntry,pplfair,pplhlp,ppltrst,implvdm,trstlgl,trstplc,trstplt,trstprl,trstprt,trstsci
LT,7,6,6,6,7,6,8,8,7,10
LT,5,5,4,9,5,9,3,4,3,9
LT,4,0,3,8,7,8,2,0,3,7
LT,9,8,6,4,8,10,7,6,9,9
LT,10,7,5,9,7,9,3,4,3,9
LT,5,3,3,8,3,6,3,0,4,7
LT,8,10,10,10,7,7,5,8,5,6
LT,8,8,8,10,8,10,8,7,7,9
LT,4,0,0,10,4,5,4,4,4,8
LT,5,4,4,7,8,8,3,4,3,8
LT,7,7,7,9,0,3,2,5,0,8
LT,7,7,8,10,8,10,8,10,9,10
LT,5,3,4,8,1,5,0,1,0,6
LT,1,1,1,10,3,10,1,8,1,9
LT,7,5,6,7,8,8,4,6,4,9
LT,5,3,1,8,2,2,6,2,4,8
LT,8,5,8,9,9,9,7,5,4,9
LT,9,7,8,10,4,4,2,4,2,6
LT,5,5,7,7,5,8,1,0,1,6
LT,5,4,7,8,3,6,3,3,3,7
LT,2,5,4,5,6,5,1,4,2,4
LT,3,5,3,5,3,5,3,3,2,5
LT,1,4,6,10,6,7,4,3,1,8
LT,7,7,5,5,5,8,2,0,0,2
LT,8,8,5,9,8,9,4,5,3,10
LT,5,3,5,10,2,3,0,2,0,8
LT,4,9,7,3,3,10,4,2,4,10
LT,9,3,5,8,5,5,5,3,5,9
LT,9,7,8,10,7,8,5,6,5,7
LT,2,0,2,10,3,3,3,1,1,6
LT,7,3,4,10,9,2,2,0,5,10
LT,7,8,7,10,9,9,7,8,8,9
LT,6,6,5,9,5,7,6,6,5,8
LT,3,0,5,10,10,9,3,7,2,10
LT,5,3,3,9,5,7,4,4,3,7
LT,8,9,8,10,8,10,5,8,4,10
LT,3,5,2,10,4,6,2,1,1,9
LT,5,5,5,10,10,10,8,10,5,10
LT,4,3,3,8,5,6,4,6,3,3
LT,5,4,2,10,5,6,3,4,4,7
LT,6,2,5,10,2,9,5,5,5,7
LT,6,5,5,10,8,6,2,3,1,8
LT,7,5,8,8,7,7,3,4,5,9
LT,4,3,3,8,2,4,0,1,1,9
LT,2,4,0,5,6,8,3,4,1,9
LT,8,4,6,10,7,7,3,3,6,6
LT,3,2,5,5,8,9,1,0,1,9
LT,9,7,8,8,5,10,0,0,0,1
LT,3,4,3,10,5,6,4,7,5,10
LT,8,8,6,10,1,3,5,9,6,9
