cntry,pplfair,pplhlp,ppltrst,implvdm,trstlgl,trstplc,trstplt,trstprl,trstprt,trstsci
BG,5,1,5,3,2,3,3,3,3,6
BG,6,2,0,10,8,9,6,5,7,10
BG,3,4,5,2,3,3,3,3,2,6
BG,5,3,5,4,2,3,0,2,0,3
BG,4,2,4,7,0,0,0,0,0,3
BG,3,3,3,10,0,0,0,0,0,5
BG,5,5,3,10,4,7,5,5,3,6
BG,4,6,4,5,2,4,1,2,1,5
BG,7,4,5,9,3,7,2,2,2,8
BG,1,2,0,5,0,2,0,0,0,9
BG,10,8,1,10,1,1,5,4,7,6
BG,7,10,7,6,5,5,4,5,4,5
BG,3,5,5,8,7,2,7,0,2,10
BG,7,1,8,8,5,9,5,4,6,9
BG,4,5,3,10,4,5,2,1,2,9
BG,2,0,0,8,0,0,2,3,1,1
BG,4,2,4,10,2,5,2,2,3,6
BG,3,3,3,10,3,5,2,2,1,8
BG,5,4,5,10,4,4,0,0,0,4
BG,3,3,2,7,3,5,3,3,3,6
BG,3,0,0,10,4,5,0,0,3,5
BG,5,5,5,10,2,4,3,1,3,5
BG,0,0,0,10,0,7,0,0,0,8
BG,6,7,5,10,1,1,2,2,3,1
BG,5,3,6,9,2,3,3,6,3,8
BG,2,3,2,10,3,5,2,3,2,7
BG,6,0,5,2,0,0,0,0,4,1
BG,3,3,4,10,1,4,0,0,0,5
BG,5,5,5,10,8,8,7,8,6,9
BG,7,8,5,8,3,3,4,4,4,6
BG,5,5,10,10,4,7,4,7,2,8
BG,3,3,3,10,2,4,1,0,1,8
BG,3,3,0,10,0,5,0,0,0,5
BG,7,6,7,10,4,8,1,4,1,10
BG,6,1,3,10,0,0,0,0,0,4
BG,6,4,2,8,1,3,3,2,1,4
BG,7,7,1,9,6,5,8,5,5,10
BG,4,5,0,8,2,3,2,4,2,7
BG,0,0,0,5,3,5,0,3,0,7
BG,1,5,0,10,2,5,0,0,0,5
BG,5,3,5,10,5,3,3,3,3,4
