cntry,ppltrst,pplfair,pplhlp,trstprl,trstlgl,trstplc,trstplt,trstprt,trstsci,implvdm
BE,3,4,3,5,5,5,3,5,4,6
BE,6,8,5,6,8,8,6,5,9,10
BE,7,5,5,8,10,10,8,8,8,10
BE,3,8,8,7,7,8,7,6,9,10
BE,4,4,4,5,5,4,4,4,6,7
BE,1,5,3,0,0,5,0,0,5,5
BE,6,4,3,3,5,7,3,3,7,9
BE,7,8,2,8,9,8,7,8,7,10
BE,8,8,5,8,5,3,8,5,9,8
BE,3,5,2,5,0,0,2,2,5,7
BE,3,7,5,3,5,5,2,2,9,10
BE,4,6,3,6,7,7,4,4,8,10
BE,7,7,6,5,5,8,7,7,9,8
BE,8,8,4,9,9,8,7,8,10,7
BE,5,7,4,7,8,7,6,6,9,10
BE,6,2,0,4,3,4,3,0,8,9
BE,5,5,4,5,6,6,5,5,5,7
BE,7,7,7,7,8,8,7,7,10,10
BE,4,4,3,4,5,5,4,4,6,5
BE,6,6,6,0,5,4,0,0,9,9
BE,7,6,9,5,5,10,5,5,8,10
BE,7,7,4,3,6,7,3,3,8,10
BE,6,7,2,5,7,8,5,4,8,9
BE,5,6,6,5,6,6,5,5,7,8
BE,6,9,5,8,6,8,8,6,9,10
BE,4,7,5,7,8,8,6,5,8,10
BE,5,5,4,5,5,6,5,5,6,6
BE,6,7,5,2,7,8,2,2,7,10
BE,8,7,7,6,5,6,4,3,7,8
BE,7,5,7,7,7,8,6,6,9,9
BE,2,4,3,5,7,7,7,5,8,10
BE,5,6,2,8,6,5,5,4,8,10
BE,6,7,6,6,7,8,5,5,8,8
BE,7,7,6,3,3,4,3,2,5,10
BE,7,8,8,8,7,9,5,5,9,10
BE,6,7,8,8,7,8,7,7,9,10
BE,7,5,4,8,8,8,8,8,8,9
BE,7,7,7,7,7,6,6,6,8,8
BE,2,3,4,5,5,7,5,5,5,5
BE,3,3,2,5,5,5,3,3,6,10
BE,0,8,8,7,9,8,6,4,9,10
BE,6,5,2,3,7,7,4,4,8,10
BE,8,8,6,7,5,8,4,3,9,8
BE,7,6,3,5,4,8,6,5,9,8
BE,6,9,7,7,6,7,6,5,8,9
BE,5,5,5,5,6,6,4,5,6,9
BE,5,6,7,7,8,7,7,8,8,8
BE,8,10,3,10,10,10,5,5,10,10
BE,6,7,4,6,7,4,4,2,7,10
BE,7,7,4,7,6,2,5,6,7,10
BE,1,3,4,1,2,8,0,0,9,5
