cntry,ppltrst,pplfair,pplhlp,trstprl,trstlgl,trstplc,trstplt,trstprt,trstsci,implvdm
GB,7,7,8,2,7,7,2,2,9,9
GB,8,8,7,6,6,5,7,7,8,10
GB,4,5,6,3,5,4,3,4,6,6
GB,4,7,4,3,4,6,2,4,7,10
GB,6,4,4,0,0,5,0,0,6,6
GB,2,3,4,1,6,1,1,1,7,5
GB,6,7,7,2,7,6,0,2,7,10
GB,9,9,9,7,8,9,6,6,9,10
GB,7,5,6,7,7,6,4,5,8,10
GB,6,8,6,0,8,8,7,3,8,10
GB,4,6,7,3,6,5,3,4,9,9
GB,4,7,7,2,4,7,1,0,7,10
GB,7,7,6,4,5,5,5,2,7,10
GB,4,5,4,3,3,2,2,2,5,8
GB,7,7,5,5,7,7,5,5,9,10
GB,5,8,8,7,9,8,3,4,8,10
GB,6,6,6,8,8,8,7,7,9,10
GB,5,6,5,7,9,9,5,5,7,10
GB,8,8,9,3,6,5,2,2,9,10
GB,5,5,4,5,5,4,5,5,10,5
GB,4,5,3,1,3,2,0,0,2,10
GB,5,7,5,7,8,9,5,5,10,10
GB,8,8,8,5,8,8,6,4,10,10
GB,5,4,5,7,5,6,4,4,5,10
GB,5,2,5,1,8,0,0,0,10,6
GB,7,5,5,0,4,2,0,2,8,6
GB,8,8,2,9,10,7,3,3,6,8
GB,3,8,7,2,7,9,2,2,10,10
GB,3,5,5,2,3,7,2,3,6,7
GB,8,8,8,2,7,6,3,1,9,10
GB,8,8,8,7,7,7,5,6,10,10
GB,0,9,9,5,2,2,2,5,10,10
GB,8,8,9,5,7,8,8,8,7,10
GB,5,7,6,7,7,2,5,5,8,10
GB,7,5,5,5,5,5,3,4,0,10
GB,7,9,4,0,3,3,0,0,9,10
GB,5,7,4,3,7,9,4,4,7,9
GB,5,7,6,5,8,5,5,5,9,10
GB,1,1,6,0,0,0,0,0,0,2
GB,5,5,3,3,8,5,1,6,10,7
GB,6,8,7,5,5,6,4,2,6,10
GB,6,7,7,5,7,8,6,6,7,8
GB,0,0,0,0,0,10,0,0,0,10
GB,7,5,5,4,5,5,3,3,6,10
GB,5,5,5,3,4,8,1,2,10,10
GB,7,6,6,6,0,7,7,7,4,9
GB,8,8,5,7,8,5,7,7,10,10
GB,7,8,7,0,8,9,5,3,9,10
GB,5,5,2,4,6,5,4,3,8,7
GB,7,6,7,6,7,6,3,5,8,10
GB,4,4,8,2,4,7,1,1,5,5
GB,7,7,7,3,6,6,3,3,8,9
GB,7,7,8,3,3,5,3,5,9,7
GB,7,3,7,7,5,8,2,4,8,5
GB,9,9,9,7,8,8,7,7,7,10
GB,4,5,5,3,5,6,2,3,6,10
GB,5,7,8,7,9,9,7,7,9,10
GB,6,6,5,5,4,6,3,3,3,10
GB,8,7,9,6,7,7,6,6,8,10
GB,5,5,8,5,8,8,7,7,7,8
GB,0,9,7,5,5,6,4,4,8,8
GB,10,5,9,8,10,10,3,4,10,10
